Start Log	Run: 66	Date: 5/10/2024   Time: 11:58:37
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
5.031, 0, -0.34, 5982223.26, 
10.063, 1, -0.11, 5982223.26, 
15.016, 0.1, 0.29, 5982223.21, 
20.031, 10.6, 6.7, 5982222.51, 
25.063, 0.2, 9.86, 5982222.45, 
30.031, 0.2, 10.08, 5982222.44, 
35.031, 0, 10.56, 5982222.37, 
40.031, -0.1, 11.17, 5982222.32, 
45.047, -0.4, 11.77, 5982222.29, 
50.109, -0.2, 12.34, 5982222.23, 
55.078, -0.1, 12.77, 5982222.17, 
60.125, -0.1, 13.36, 5982222.16, 
65.125, -0.1, 14.12, 5982222.11, 
70.094, -0.5, 14.36, 5982222.06, 
75.141, 0, 14.78, 5982222.06, 
80.156, -0.4, 15.09, 5982222.02, 
85.125, -0.1, 15.64, 5982221.95, 
90.359, -0.1, 16.07, 5982221.91, 
95.141, 0.3, 16.49, 5982221.93, 
100.156, -0.2, 17.04, 5982221.86, 
105.344, 0.3, 17.07, 5982221.86, 
110.172, -0.2, 17.29, 5982221.85, 
115.156, 0, 17.6, 5982221.83, 
120.188, 0.6, 18.29, 5982221.75, 
125.156, 0.1, 18.59, 5982221.68, 
130.172, -0.1, 19.06, 5982221.66, 
135.25, 0.2, 20.04, 5982221.64, 
140.172, 0.5, 20.67, 5982221.53, 
145.172, 0.5, 21.27, 5982221.53, 
150.203, 0.7, 21.62, 5982221.46, 
155.219, -0.6, 22.17, 5982221.45, 
160.25, 0.1, 22.39, 5982221.43, 
165.219, 0.6, 22.99, 5982221.36, 
170.234, 0.1, 24.09, 5982221.28, 
175.266, 0.1, 23.59, 5982221.31, 
180.234, 0.2, 24.18, 5982221.29, 
185.25, 1, 24.86, 5982221.25, 
190.281, -0.1, 25.25, 5982221.2, 
195.234, 0.2, 25.55, 5982221.17, 
200.25, -0.1, 26.05, 5982221.14, 
205.281, -0.1, 26.61, 5982221.08, 
210.266, 0.3, 27.18, 5982221.03, 
215.281, 0, 28.13, 5982220.94, 
220.281, 0, 28.9, 5982220.85, 
225.328, 0.1, 29.79, 5982220.83, 
230.359, 0.3, 30.71, 5982220.71, 
235.344, 0.4, 31.49, 5982220.67, 
