
Start Log	Run: 616	Date: 5/31/2021   Time: 8:22:45
Time, 601150 MassRate , 601150 Mass (g), 601150 Frequency (Hz)
4.976, 0, -0.03, 5986609.62, 
9.999, -0.1, -0.21, 5986609.63, 
14.991, 0, -0.42, 5986609.63, 
19.999, -0.1, -0.5, 5986609.69, 
25.006, 0.1, -0.73, 5986609.68, 
30.014, -0.1, -1.01, 5986609.7, 
35.022, 0.1, -1.06, 5986609.67, 
40.045, -0.1, -1.25, 5986609.72, 
45.053, -0.1, -1.55, 5986609.74, 
50.076, -0.1, -1.97, 5986609.81, 
55.052, 0.1, -1.99, 5986609.78, 
60.06, -0.2, -2.33, 5986609.8, 
65.068, 0.1, -2.39, 5986609.8, 
70.075, 0, -2.66, 5986609.85, 
75.098, -0.1, -2.66, 5986609.8, 
80.106, -0.1, -2.98, 5986609.85, 
85.129, 0.2, -2.91, 5986609.87, 
90.106, -0.1, -3.23, 5986609.92, 
95.113, 0, -3.21, 5986609.9, 
100.121, 0, -3.51, 5986609.89, 
105.129, 0.1, -3.5, 5986609.91, 
110.152, -0.2, -3.75, 5986609.9, 
115.159, 0.1, -3.74, 5986609.95, 
120.167, 0, -4.06, 5986609.95, 
125.159, -0.1, -3.94, 5986609.95, 
130.167, 0, -4.22, 5986609.94, 
135.174, 0, -4.25, 5986609.95, 
140.182, 0, -4.53, 5986609.99, 
145.19, 0, -4.47, 5986609.97, 
150.213, 0, -4.79, 5986610, 
155.236, -0.1, -4.76, 5986610, 
160.213, 0, -5.15, 5986609.99, 
165.22, -0.1, -5.02, 5986610.05, 
170.228, 0.1, -5.36, 5986610.06, 
175.235, -0.1, -5.44, 5986610.05, 
180.243, -0.1, -5.68, 5986610.06, 
185.251, 0, -5.71, 5986610.09, 
190.29, 0.1, -5.94, 5986610.1, 
195.266, 0, -6.05, 5986610.09, 
200.274, 0.1, -6.14, 5986610.15, 
205.281, -0.2, -6.37, 5986610.13, 
210.289, 0, -6.3, 5986610.13, 
215.297, 0, -6.61, 5986610.13, 
220.32, 0, -6.51, 5986610.17, 
225.327, 0, -6.81, 5986610.21, 
230.319, 0, -6.77, 5986610.17, 
235.327, 0, -7.09, 5986610.18, 
240.335, -0.1, -7.01, 5986610.2, 
245.342, 0, -7.24, 5986610.2, 
250.35, 0, -7.3, 5986610.25, 
255.373, 0, -7.48, 5986610.19, 
260.365, -0.1, -7.44, 5986610.22, 
265.373, 0, -7.62, 5986610.19, 
270.38, 0, -7.67, 5986610.24, 
275.388, 0, -7.67, 5986610.25, 
280.396, -0.1, -7.91, 5986610.24, 
285.403, -0.1, -7.93, 5986610.26, 
290.427, 0.1, -8.07, 5986610.31, 
295.45, -0.1, -8.09, 5986610.3, 
300.426, 0, -8.43, 5986610.3, 
305.434, -0.1, -8.25, 5986610.3, 
310.442, 0, -8.51, 5986610.29, 
315.449, -0.2, -8.47, 5986610.3, 
320.457, 0.2, -8.6, 5986610.26, 
325.48, 0, -8.61, 5986610.33, 
330.503, -0.1, -8.68, 5986610.3, 
335.48, 0, -8.8, 5986610.3, 
340.487, -0.1, -8.84, 5986610.34, 
345.495, -0.2, -8.97, 5986610.36, 
350.503, 0, -8.9, 5986610.31, 
355.526, 0.1, -9.12, 5986610.35, 
360.518, 0, -9.02, 5986610.34, 
365.557, 0, -9.27, 5986610.38, 
370.533, -0.2, -9.11, 5986610.37, 
375.541, 0, -9.38, 5986610.38, 
380.548, 0, -9.3, 5986610.4, 
385.556, 0, -9.45, 5986610.35, 
390.564, -0.1, -9.46, 5986610.4, 
395.587, 0.1, -9.47, 5986610.4, 
400.594, -0.1, -9.67, 5986610.39, 
405.587, 0, -9.59, 5986610.38, 
410.594, 0, -9.77, 5986610.4, 
415.602, 0, -9.6, 5986610.42, 
420.609, 0.1, -9.84, 5986610.42, 
425.617, 0, -9.79, 5986610.45, 
430.64, 0, -9.99, 5986610.37, 
435.632, -0.1, -9.91, 5986610.45, 
440.64, 0, -10.12, 5986610.41, 
445.648, 0, -10.14, 5986610.44, 
450.655, 0.1, -10.08, 5986610.44, 
455.663, -0.1, -10.24, 5986610.44, 
460.686, -0.1, -10.21, 5986610.44, 
465.694, 0.1, -10.34, 5986610.47, 
470.701, 0.1, -10.22, 5986610.45, 
475.693, -0.1, -10.45, 5986610.45, 
480.701, 0, -10.26, 5986610.47, 
485.709, 0, -10.51, 5986610.43, 
490.716, -0.1, -10.42, 5986610.46, 
495.74, 0.1, -10.53, 5986610.48, 
500.763, -0.1, -10.53, 5986610.48, 
505.739, 0, -10.5, 5986610.5, 
510.747, 0, -10.63, 5986610.46, 
515.754, 0, -10.56, 5986610.5, 
520.762, 0, -10.77, 5986610.45, 
525.77, -0.1, -10.65, 5986610.5, 
530.793, 0.1, -10.83, 5986610.46, 
535.801, -0.2, -10.77, 5986610.5, 
540.808, 0.1, -10.87, 5986610.44, 
545.8, -0.1, -10.85, 5986610.51, 
550.808, 0.1, -10.83, 5986610.49, 
555.815, 0, -10.96, 5986610.54, 
560.823, -0.1, -10.85, 5986610.51, 
565.831, 0.1, -11.11, 5986610.53, 
570.854, -0.1, -10.93, 5986610.54, 
575.862, 0.1, -11.08, 5986610.5, 
580.854, -0.2, -11.09, 5986610.52, 
585.861, 0.1, -11.07, 5986610.49, 
590.869, 0, -11.08, 5986610.56, 
595.877, 0, -11.05, 5986610.54, 
600.884, 0, -11.24, 5986610.51, 
605.892, 0, -11.18, 5986610.52, 
610.899, -0.1, -11.32, 5986610.54, 
615.907, 0, -11.29, 5986610.53, 
620.915, 0, -11.34, 5986610.51, 
625.922, 0, -11.43, 5986610.55, 
630.93, -0.1, -11.38, 5986610.55, 
635.938, 0.1, -11.51, 5986610.53, 
640.945, 0, -11.39, 5986610.54, 
645.968, 0, -11.37, 5986610.54, 
650.961, -0.1, -11.53, 5986610.56, 
655.968, 0, -11.45, 5986610.57, 
660.976, 0.1, -11.68, 5986610.53, 
665.983, 0, -11.5, 5986610.55, 
670.991, 0.1, -11.56, 5986610.53, 
676.014, 0, -11.55, 5986610.58, 
681.022, 0, -11.49, 5986610.56, 
686.014, 0, -11.65, 5986610.53, 
691.022, 0, -11.51, 5986610.53, 
696.029, 0.1, -11.55, 5986610.51, 
701.037, 0, -11.55, 5986610.58, 
706.044, -0.1, -11.48, 5986610.54, 
711.068, -0.1, -11.61, 5986610.56, 
716.06, 0, -11.48, 5986610.56, 
721.067, 0, -11.62, 5986610.52, 
726.075, 0, -11.59, 5986610.58, 
731.083, -0.1, -11.52, 5986610.56, 
736.09, 0, -11.58, 5986610.54, 
741.098, 0, -11.47, 5986610.56, 
746.106, 0.1, -11.49, 5986610.55, 
751.113, 0, -11.5, 5986610.52, 
756.121, 0, -11.35, 5986610.54, 
761.128, -0.1, -11.37, 5986610.54, 
766.136, 0, -11.47, 5986610.49, 
771.144, 0, -11.32, 5986610.53, 
776.151, -0.1, -11.35, 5986610.55, 
781.175, -0.1, -11.38, 5986610.52, 
786.182, 0, -11.38, 5986610.56, 
791.174, 0.1, -11.38, 5986610.58, 
796.182, 0, -11.46, 5986610.55, 
801.189, -0.1, -11.45, 5986610.53, 
806.197, 0, -11.34, 5986610.52, 
811.205, 0.1, -11.26, 5986610.51, 
816.212, -0.1, -11.12, 5986610.5, 
821.236, 0.1, -11.08, 5986610.47, 
826.228, 0, -10.93, 5986610.53, 
831.235, 0, -10.73, 5986610.51, 
836.243, 0, -10.63, 5986610.48, 
841.251, 0, -10.56, 5986610.43, 
846.258, 0, -10.43, 5986610.46, 
851.266, 0.1, -10.22, 5986610.46, 
856.289, 0, -10.14, 5986610.4, 
861.281, 0, -10.06, 5986610.38, 
866.289, 0.1, -9.96, 5986610.4, 
871.296, 0.1, -9.79, 5986610.41, 
876.304, -0.1, -9.72, 5986610.42, 
881.312, 0.1, -9.59, 5986610.37, 
886.335, 0, -9.43, 5986610.38, 
891.342, 0, -9.33, 5986610.39, 
896.334, 0, -9.15, 5986610.38, 
901.342, 0.1, -9.09, 5986610.32, 
906.35, 0, -9.04, 5986610.35, 
911.357, 0.1, -8.88, 5986610.36, 
916.381, -0.2, -8.77, 5986610.34, 
921.388, 0.2, -8.63, 5986610.3, 
926.411, -0.1, -8.61, 5986610.31, 
931.388, 0.1, -8.43, 5986610.27, 
936.396, 0, -8.23, 5986610.31, 
941.403, 0.1, -8.22, 5986610.28, 
946.411, 0.1, -8.14, 5986610.24, 
951.418, 0, -8.01, 5986610.27, 
956.457, 0, -7.83, 5986610.24, 
961.449, 0, -7.77, 5986610.29, 
966.441, 0, -7.69, 5986610.22, 
971.449, 0.1, -7.6, 5986610.25, 
976.457, 0, -7.42, 5986610.25, 
981.464, 0, -7.3, 5986610.19, 
986.487, 0, -7.18, 5986610.17, 
991.495, 0.1, -7.07, 5986610.15, 
996.503, 0, -6.91, 5986610.17, 
1001.495, 0.1, -6.85, 5986610.14, 
1006.502, 0.1, -6.69, 5986610.18, 
1011.51, 0, -6.6, 5986610.12, 
1016.518, 0, -6.45, 5986610.13, 
1021.541, 0.1, -6.31, 5986610.13, 
1026.549, 0.1, -6.15, 5986610.14, 
1031.556, 0, -6.13, 5986610.1, 
1036.548, 0.1, -5.95, 5986610.12, 
1041.556, 0, -5.81, 5986610.09, 
1046.563, 0, -5.83, 5986610.09, 
1051.571, -0.1, -5.77, 5986610.09, 
1056.579, 0, -5.74, 5986610.12, 
1061.602, 0, -5.83, 5986610.07, 
1066.625, 0, -5.89, 5986610.12, 
1071.602, 0, -5.83, 5986610.09, 
1076.609, 0.1, -5.71, 5986610.08, 
